COD,Pais,Genero,Rango,aaaa,pob
1,Costa Rica,Hombres,0 - 4,2020,187214
1,Costa Rica,Hombres,5 - 9,2020,190360
1,Costa Rica,Hombres,10 - 14,2020,192124
1,Costa Rica,Hombres,15 - 19,2020,195292
1,Costa Rica,Hombres,20 - 24,2020,214679
1,Costa Rica,Hombres,25 - 29,2020,228496
1,Costa Rica,Hombres,30 - 34,2020,233355
1,Costa Rica,Hombres,35 - 39,2020,210326
1,Costa Rica,Hombres,40 - 44,2020,177281
1,Costa Rica,Hombres,45 - 49,2020,148780
1,Costa Rica,Hombres,50 - 54,2020,140336
1,Costa Rica,Hombres,55 - 59,2020,133121
1,Costa Rica,Hombres,60 - 64,2020,110628
1,Costa Rica,Hombres,65 - 69,2020,82635
1,Costa Rica,Hombres,70 - 74,2020,54414
1,Costa Rica,Hombres,75 y más,2020,76500
1,Costa Rica,Mujeres,0 - 4,2020,178581
1,Costa Rica,Mujeres,5 - 9,2020,181312
1,Costa Rica,Mujeres,10 - 14,2020,182474
1,Costa Rica,Mujeres,15 - 19,2020,186043
1,Costa Rica,Mujeres,20 - 24,2020,205010
1,Costa Rica,Mujeres,25 - 29,2020,213660
1,Costa Rica,Mujeres,30 - 34,2020,220832
1,Costa Rica,Mujeres,35 - 39,2020,201218
1,Costa Rica,Mujeres,40 - 44,2020,175528
1,Costa Rica,Mujeres,45 - 49,2020,151512
1,Costa Rica,Mujeres,50 - 54,2020,146180
1,Costa Rica,Mujeres,55 - 59,2020,138475
1,Costa Rica,Mujeres,60 - 64,2020,115340
1,Costa Rica,Mujeres,65 - 69,2020,87531
1,Costa Rica,Mujeres,70 - 74,2020,58583
1,Costa Rica,Mujeres,75 y más,2020,93401
